,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,ongandjera,-17.88,15.07,78.78,34,65,7.96,NA,1666473447
1,port alfred,-33.59,26.89,64.18,81,24,5.99,ZA,1666473447
2,waipawa,-41.41,175.52,56.48,54,1,6.11,NZ,1666473448
3,cabo san lucas,22.89,-109.91,90.61,70,97,11.97,MX,1666473448
4,benton harbor,42.12,-86.45,79.45,41,0,12.66,US,1666473391
5,ushuaia,-54.8,-68.3,46.06,76,75,5.75,AR,1666473349
6,varkaus,62.32,27.87,41.31,91,71,10.6,FI,1666473448
7,dongying,37.46,118.49,52.65,71,0,2.84,CN,1666473449
8,quatre cocos,-20.21,57.76,72.09,77,19,9.01,MU,1666473449
9,taft,31.75,54.21,62.55,20,0,2.3,IR,1666473449
10,qaanaaq,77.48,-69.36,20.14,79,100,5.88,GL,1666473450
11,pevek,69.7,170.31,19.47,96,100,7.78,RU,1666473450
12,talnakh,69.49,88.4,27.21,96,96,7.52,RU,1666473450
13,sonkovo,57.78,37.16,39.49,83,100,8.16,RU,1666473451
14,san patricio,28.02,-97.52,87.55,46,0,19.01,US,1666473451
15,aripuana,-9.17,-60.63,82.85,65,96,3.29,BR,1666473451
16,constitucion,-35.33,-72.42,58.1,66,50,10.29,CL,1666473451
17,yellowknife,62.46,-114.35,28.92,59,75,11.5,CA,1666473401
18,owando,-0.48,15.9,72.07,96,100,1.32,CG,1666473452
19,bundaberg,-24.85,152.35,69.22,87,83,4.0,AU,1666473452
20,nikolskoye,59.7,30.79,42.69,89,27,6.24,RU,1666473452
21,busselton,-33.65,115.33,54.23,85,36,5.14,AU,1666473453
22,vaini,-21.2,-175.2,71.76,88,75,14.97,TO,1666473453
23,roma,43.21,-75.46,71.74,26,0,6.91,US,1666473453
24,hermanus,-34.42,19.23,65.8,89,4,12.84,ZA,1666473454
25,saskylakh,71.92,114.08,8.29,97,46,7.74,RU,1666473454
26,rikitea,-23.12,-134.97,71.42,82,88,22.08,PF,1666473454
27,novo aripuana,-5.12,-60.38,86.32,65,100,1.95,BR,1666473454
28,egvekinot,66.32,-179.17,21.83,95,100,2.95,RU,1666473455
29,atuona,-9.8,-139.03,76.8,65,47,17.09,PF,1666473455
30,te anau,-45.42,167.72,51.66,80,33,7.65,NZ,1666473455
31,tasiilaq,65.61,-37.64,32.16,97,100,13.22,GL,1666473456
32,ilulissat,69.22,-51.1,39.22,70,40,16.11,GL,1666473456
33,nome,64.5,-165.41,37.47,87,75,0.0,US,1666473456
34,namibe,-15.2,12.15,69.17,81,41,2.06,AO,1666473457
35,shostka,51.86,33.47,45.95,77,100,13.09,UA,1666473457
36,aswan,24.09,32.91,75.63,35,0,14.23,EG,1666473457
37,mnogovershinnyy,53.94,139.92,22.77,82,25,4.05,RU,1666473458
38,kapaa,22.08,-159.32,85.98,76,100,16.11,US,1666473458
39,ponta do sol,32.67,-17.1,70.43,82,100,8.63,PT,1666473458
40,tuktoyaktuk,69.45,-133.04,17.6,93,20,9.22,CA,1666473459
41,vondrozo,-22.82,47.28,61.79,96,67,1.23,MG,1666473459
42,hithadhoo,-0.6,73.08,81.59,73,61,8.43,MV,1666473460
43,cherskiy,68.75,161.3,12.02,96,100,8.03,RU,1666473460
44,saldanha,-33.01,17.94,62.28,85,32,13.73,ZA,1666473460
45,poum,-20.23,164.02,76.12,83,100,29.77,NC,1666473461
46,jamestown,42.1,-79.24,71.19,32,0,9.22,US,1666473461
47,sayyan,15.17,44.32,53.65,21,5,4.34,YE,1666473461
48,hobart,-42.88,147.33,52.27,84,75,12.66,AU,1666473462
49,avarua,-21.21,-159.78,80.65,83,40,6.91,CK,1666473462
50,georgetown,5.41,100.34,80.53,85,20,5.75,MY,1666473178
51,airai,-8.93,125.41,61.41,81,68,1.43,TL,1666473462
52,deputatskiy,69.3,139.9,-1.82,95,98,5.46,RU,1666473463
53,saint-pierre,-21.34,55.48,71.28,73,0,5.75,RE,1666473199
54,pisco,-13.7,-76.22,65.01,78,9,6.69,PE,1666473290
55,umm kaddadah,13.6,26.69,84.58,15,94,14.41,SD,1666473463
56,chuy,-33.7,-53.46,59.68,93,90,6.67,UY,1666473464
57,santa maria,-29.68,-53.81,71.46,68,0,1.28,BR,1666473339
58,caravelas,-17.71,-39.25,76.23,81,100,10.87,BR,1666473464
59,port elizabeth,-33.92,25.57,66.09,92,40,11.99,ZA,1666473464
60,klaksvik,62.23,-6.59,43.72,79,100,17.45,FO,1666473465
61,rabo de peixe,37.8,-25.58,63.91,86,40,9.22,PT,1666473465
62,cape town,-33.93,18.42,68.38,73,3,3.0,ZA,1666473200
63,camacha,33.08,-16.33,65.62,83,40,12.66,PT,1666473465
64,nizhniy baskunchak,48.22,46.83,41.18,61,85,5.3,RU,1666473466
